Date,MarketReturn
2015-06-25,0.00016301609413438278
2015-06-26,0.0016821913462150562
2015-06-29,-0.035608657176941616
2015-06-30,-0.01247202973870376
2015-07-01,0.021519474242505998
2015-07-02,-0.007258172711417155
2015-07-03,-0.0036903061891012667
2015-07-06,-0.015170381945292188
2015-07-07,-0.01963614593462437
2015-07-08,0.0066049876460878565
2015-07-09,0.02317884491918898
2015-07-10,0.029029474164750102
2015-07-13,0.014913000866942472
2015-07-14,0.0028316722365508973
2015-07-15,0.0019762262414364518
2015-07-16,0.015347072617390767
2015-07-17,-0.0036989748019077284
2015-07-20,0.005336910691125629
2015-07-21,-0.01115568537763345
2015-07-22,-0.007249586378050399
2015-07-23,-0.0007430123421641177
2015-07-24,-0.01430319897916188
2015-07-27,-0.025648934342076934
2015-07-28,0.010628233421366762
2015-07-29,0.0033954094851309513
2015-07-30,0.004040368003496164
2015-07-31,0.004605073220131262
2015-08-03,0.011913530739703582
2015-08-04,0.001079194527653593
2015-08-05,0.015732271188985347
2015-08-06,-0.0044000240626315135
2015-08-07,-0.008137176200464391
2015-08-10,0.009916603065226903
2015-08-11,-0.026810503947511388
2015-08-12,-0.032676769689161556
2015-08-13,0.00824011108863365
2015-08-14,-0.0026773482177794294
2015-08-17,-0.004079146920294097
2015-08-18,-0.00223119412302919
2015-08-19,-0.021415510557058037
2015-08-20,-0.023399783751398284
2015-08-21,-0.02949236929158694
2015-08-24,-0.04702346382840872
2015-08-25,0.04971689694592807
2015-08-26,-0.012903678076484182
2015-08-27,0.031827179585153464
2015-08-28,-0.0016567108908626116
2015-08-31,-0.0037937453209343497
2015-09-01,-0.023772206334446433
2015-09-02,0.0032429507257201173
2015-09-03,0.026849985818143907
2015-09-04,-0.02711807897777052
2015-09-07,0.007030256902741838
2015-09-08,0.016100136418360167
2015-09-09,0.00309209296529378
2015-09-10,-0.008995333452391119
2015-09-11,-0.008508937910609249
2015-09-14,0.0008080161524206542
2015-09-15,0.005565677761174337
2015-09-16,0.0038358364096258146
2015-09-17,0.00023173475463988957
2015-09-18,-0.030638599043167014
2015-09-21,0.0032623515554408566
2015-09-22,-0.03798056191329158
2015-09-23,0.004384232644352837
2015-09-24,-0.019243452877571454
2015-09-25,0.027672885260786595
2015-09-28,-0.02115697634212843
2015-09-29,-0.0034955264642458905
2015-09-30,0.0222255142639467
2015-10-01,-0.0156504258605199
2015-10-02,0.004608144701211847
2015-10-05,0.02739642858264424
2015-10-06,0.008970135886758657
2015-10-07,0.006823302025784628
2015-10-08,0.002273730241514782
2015-10-09,0.010360179604465891
2015-10-12,0.0023007745181546913
2015-10-13,-0.008597970519267584
2015-10-14,-0.011658736028354877
2015-10-15,0.015021405124119314
2015-10-16,0.0039374850965743224
2015-10-19,0.0059261135957198174
2015-10-20,-0.001636116962194123
2015-10-21,0.008910411049619205
2015-10-22,0.02479659311786353
2015-10-23,0.028838244867265272
2015-10-26,0.0006299481033928966
2015-10-27,-0.010105227684713114
2015-10-28,0.013072158276274504
2015-10-29,-0.0028729795900279687
2015-10-30,0.004564459801274623
2015-11-02,0.009265318235525122
2015-11-03,4.383293442322689e-05
2015-11-04,-0.009671130429224295
2015-11-05,0.003918769893520135
2015-11-06,0.009211278006271417
2015-11-09,-0.015706182090875265
2015-11-10,0.0015782977129938924
2015-11-11,0.006955906843467696
2015-11-12,-0.011481618317783493
2015-11-13,-0.006884220269080865
2015-11-16,0.00045104777557813946
2015-11-17,0.02406463783564816
2015-11-18,-0.001010843092359548
2015-11-19,0.011449869753055397
2015-11-20,0.0031022674787828386
2015-11-23,-0.0024748579789439784
2015-11-24,-0.014272951260828393
2015-11-25,0.021542913428675314
2015-11-26,0.013539501179099522
2015-11-27,-0.0023858801123951556
2015-11-30,0.007833529311761511
2015-12-01,-0.010629727215141438
2015-12-02,-0.006324347940368846
2015-12-03,-0.03581584304585694
2015-12-04,-0.0034423184580192334
2015-12-07,0.0124617516578156
2015-12-08,-0.019519405038907478
2015-12-09,-0.007599123070004543
2015-12-10,0.0006079779164294141
2015-12-11,-0.024424163571228452
2015-12-14,-0.01941187962158819
2015-12-15,0.030676552911727883
2015-12-16,0.0018066328688526312
2015-12-17,0.025680898172363742
2015-12-18,-0.012099883406033851
2015-12-21,-0.010408938753925012
2015-12-22,-0.0008592301031552507
2015-12-23,0.0227758312477655
2015-12-28,-0.006872900283752981
2015-12-29,0.019357212516343703
2015-12-30,-0.01078531215987999
2016-01-04,-0.04277851365678709
2016-01-05,0.002592517678909001
2016-01-06,-0.009319017274323271
2016-01-07,-0.02292633067097971
2016-01-08,-0.013077350861986914
2016-01-11,-0.002464124499712672
2016-01-12,0.016321512213144596
2016-01-13,-0.0024505704811912388
2016-01-14,-0.016741358262657213
2016-01-15,-0.02541606256764206
2016-01-18,-0.002453571245234598
2016-01-19,0.014950876142766134
2016-01-20,-0.028204064274265583
2016-01-21,0.019434305403529084
2016-01-22,0.01992028543496227
2016-01-25,-0.0029421764527571836
2016-01-26,0.008894686297971965
2016-01-27,0.005911786414191544
2016-01-28,-0.024413965642527624
2016-01-29,0.01644468281327316
2016-02-01,-0.004105893891781287
2016-02-02,-0.018122788966455694
2016-02-03,-0.015261391247714307
2016-02-04,-0.004394360464746505
2016-02-05,-0.011404864712946328
2016-02-08,-0.033045703154024775
2016-02-09,-0.011132196503982561
2016-02-10,0.015529202423587352
2016-02-11,-0.02932366597946834
2016-02-12,0.024522242418772322
2016-02-15,0.02668856795253083
2016-02-16,-0.007790946730908743
2016-02-17,0.02650214392601713
