Date,Mkt-RF,SMB,HML,RMW,CMA,RF
1996-08-01,0.96    ,1.35   ,-0.69    ,0.09   ,-1.40    ,0.41
1996-09-01,3.19   ,-2.65   ,-0.92    ,0.52   ,-0.97    ,0.44
1996-10-01,-0.49   ,-0.25    ,2.13    ,1.65    ,1.21    ,0.42
1996-11-01,4.44   ,-3.14    ,1.77    ,1.12   ,-0.34    ,0.41
1996-12-01,-1.77    ,1.19    ,1.13    ,1.44   ,-0.21    ,0.46
1997-01-01,0.05    ,0.12    ,0.00    ,2.05   ,-0.59    ,0.45
1997-02-01,0.30   ,-1.20    ,2.11   ,-0.47    ,2.21    ,0.39
1997-03-01,-2.79   ,-0.72    ,2.47    ,1.09    ,1.40    ,0.43
1997-04-01,1.93   ,-4.33   ,-0.20    ,2.63   ,-0.41    ,0.43
1997-05-01,7.01    ,1.40   ,-1.74   ,-1.22   ,-1.81    ,0.49
1997-06-01,4.02   ,-1.41    ,0.91   ,-0.50    ,0.82    ,0.37
1997-07-01,3.75   ,-4.40   ,-0.29    ,1.43   ,-2.98    ,0.43
1997-08-01,-5.56    ,5.26    ,0.49   ,-0.76    ,0.31    ,0.41
1997-09-01,4.99   ,-2.02   ,-0.37    ,0.25   ,-2.40    ,0.44
1997-10-01,-5.54    ,1.19    ,1.17    ,1.99    ,1.71    ,0.42
1997-11-01,0.30   ,-5.56   ,-0.51    ,2.93    ,0.32    ,0.39
1997-12-01,0.32   ,-3.19    ,1.93    ,0.37    ,0.23    ,0.48
1998-01-01,1.92   ,-0.45   ,-1.01   ,-0.02    ,1.10    ,0.43
1998-02-01,6.50    ,0.00    ,0.49   ,-1.30   ,-1.03    ,0.39
1998-03-01,3.80   ,-0.17    ,2.01    ,0.51   ,-0.59    ,0.39
1998-04-01,0.72    ,0.39   ,-0.29    ,0.49   ,-1.15    ,0.43
1998-05-01,-1.65   ,-0.59    ,1.87    ,1.65    ,1.15    ,0.40
1998-06-01,1.23   ,-3.75   ,-1.76    ,0.65   ,-2.18    ,0.41
1998-07-01,-1.23   ,-3.42   ,-1.16    ,1.23   ,-1.11    ,0.40
1998-08-01,-14.07   ,-1.02    ,0.09    ,3.27    ,4.43    ,0.43
1998-09-01,1.22   ,-0.82   ,-3.33   ,-0.04    ,1.61    ,0.46
1998-10-01,8.12   ,-3.00    ,1.26   ,-1.90   ,-0.09    ,0.32
1998-11-01,5.02   ,-0.64   ,-1.33   ,-0.45   ,-1.47    ,0.31
1998-12-01,4.34   ,-1.87   ,-3.47    ,1.26   ,-2.05    ,0.38
1999-01-01,1.76   ,-0.77   ,-4.01   ,-0.10   ,-3.46    ,0.35
1999-02-01,-3.30   ,-0.66    ,0.33    ,0.56    ,2.26    ,0.35
1999-03-01,3.53   ,-1.08    ,0.21   ,-2.24   ,-0.88    ,0.43
1999-04-01,4.32    ,3.04    ,3.81   ,-1.53    ,0.89    ,0.37
1999-05-01,-3.12    ,3.11    ,0.60    ,0.59    ,1.48    ,0.34
1999-06-01,4.65    ,2.97   ,-1.76    ,0.84   ,-3.50    ,0.40
1999-07-01,-0.35    ,2.18    ,0.93    ,0.19    ,0.67    ,0.38
1999-08-01,-0.01    ,0.83   ,-1.67    ,0.03   ,-1.48    ,0.39
1999-09-01,-0.60    ,1.55   ,-2.00   ,-0.84   ,-2.15    ,0.39
1999-10-01,4.39   ,-5.14   ,-4.04    ,0.23   ,-1.96    ,0.39
1999-11-01,3.63    ,0.39   ,-9.48    ,1.57   ,-6.42    ,0.36
1999-12-01,7.23   ,-1.86   ,-6.45   ,-0.56   ,-6.44    ,0.44
2000-01-01,-5.39    ,5.25   ,-1.92   ,-1.66    ,0.61    ,0.41
2000-02-01,2.28    ,8.37  ,-10.14   ,-5.75   ,-4.71    ,0.43
2000-03-01,4.66   ,-8.65    ,6.74    ,4.18    ,2.35    ,0.47
2000-04-01,-5.77   ,-4.02    ,5.14    ,2.93    ,4.43    ,0.46
2000-05-01,-3.28    ,0.12    ,5.56    ,0.27    ,4.23    ,0.50
2000-06-01,3.28    ,4.31   ,-1.41   ,-4.18   ,-1.09    ,0.40
2000-07-01,-3.38   ,-1.04    ,5.94    ,2.42    ,1.59    ,0.48
2000-08-01,4.22   ,-0.65   ,-1.38   ,-3.15    ,0.27    ,0.50
2000-09-01,-5.24    ,0.47    ,6.48    ,1.95    ,4.72    ,0.51
2000-10-01,-3.52   ,-4.34    ,6.79    ,5.67    ,4.96    ,0.56
2000-11-01,-7.46    ,0.67   ,12.24    ,6.20    ,9.57    ,0.51
2000-12-01,1.37    ,1.73    ,7.63   ,-0.30    ,5.03    ,0.50
2001-01-01,1.87    ,1.80   ,-3.88   ,-1.67   ,-3.85    ,0.54
2001-02-01,-8.77    ,4.23   ,11.92    ,2.87    ,8.71    ,0.38
2001-03-01,-7.77    ,0.63    ,7.12    ,2.91    ,4.67    ,0.42
2001-04-01,7.67   ,-1.14   ,-3.15   ,-0.57   ,-2.60    ,0.39
2001-05-01,-1.09    ,2.72    ,2.78    ,0.38    ,1.82    ,0.32
2001-06-01,-2.77    ,2.27    ,3.61   ,-0.14    ,1.56    ,0.28
2001-07-01,-2.60   ,-2.26    ,3.01    ,4.17    ,4.23    ,0.30
2001-08-01,-4.44    ,3.01    ,4.02    ,2.37    ,6.01    ,0.31
2001-09-01,-10.01   ,-4.29    ,1.95    ,2.43    ,3.80    ,0.28
2001-10-01,2.58    ,2.84   ,-5.16   ,-1.14   ,-5.01    ,0.22
2001-11-01,5.53   ,-1.07   ,-1.80   ,-1.79   ,-3.34    ,0.17
2001-12-01,0.66    ,0.48    ,1.34    ,0.53    ,0.95    ,0.15
2002-01-01,-3.07    ,1.78    ,2.00    ,3.74    ,2.98    ,0.14
2002-02-01,-0.72    ,0.61    ,3.48    ,4.49    ,5.23    ,0.13
2002-03-01,4.66    ,1.47    ,0.52   ,-0.07   ,-0.43    ,0.13
2002-04-01,-2.48    ,4.95    ,5.39    ,1.83    ,4.77    ,0.15
2002-05-01,0.35    ,0.77    ,3.33    ,0.97    ,2.76    ,0.14
2002-06-01,-5.45    ,2.67    ,2.18    ,2.41    ,2.80    ,0.13
