Date,Mkt-RF,SMB,HML,RMW,CMA,RF
1996-08-01,2.26   ,-0.85   ,-1.49    ,1.83   ,-1.32    ,0.41
1996-09-01,1.17   ,-2.61    ,0.49    ,1.26   ,-0.19    ,0.44
1996-10-01,1.55    ,0.98   ,-1.30    ,1.49   ,-1.22    ,0.42
1996-11-01,4.08   ,-2.53    ,1.01    ,0.26   ,-0.19    ,0.41
1996-12-01,2.01    ,0.17    ,0.75    ,1.06    ,0.42    ,0.46
1997-01-01,-0.35    ,0.74    ,2.01   ,-1.00    ,1.02    ,0.45
1997-02-01,0.68    ,0.60   ,-0.25   ,-0.29   ,-1.32    ,0.39
1997-03-01,2.04   ,-0.96    ,1.09    ,0.11    ,1.52    ,0.43
1997-04-01,-0.75   ,-1.38    ,0.19    ,1.11    ,0.26    ,0.43
1997-05-01,4.14   ,-1.16    ,1.10   ,-1.25   ,-0.30    ,0.49
1997-06-01,3.66   ,-3.45    ,1.04    ,0.32    ,1.41    ,0.37
1997-07-01,3.12   ,-5.44    ,1.81   ,-0.95   ,-0.01    ,0.43
1997-08-01,-5.29    ,5.86   ,-0.87    ,1.15    ,1.41    ,0.41
1997-09-01,8.74   ,-3.57    ,2.67    ,0.73   ,-0.06    ,0.44
1997-10-01,-4.88    ,4.09    ,0.89   ,-0.37   ,-0.01    ,0.42
1997-11-01,0.75   ,-2.99   ,-0.49    ,0.42   ,-1.93    ,0.39
1997-12-01,2.26   ,-3.50    ,1.95   ,-0.99   ,-0.94    ,0.48
1998-01-01,3.16   ,-1.29    ,0.46   ,-1.18    ,0.72    ,0.43
1998-02-01,7.49   ,-1.77    ,1.00   ,-1.55   ,-0.85    ,0.39
1998-03-01,6.91    ,1.78    ,4.53   ,-0.17   ,-0.66    ,0.39
1998-04-01,2.19    ,1.51   ,-0.56    ,1.86   ,-2.11    ,0.43
1998-05-01,2.22    ,2.39    ,1.01    ,0.54   ,-1.96    ,0.40
1998-06-01,-0.50   ,-3.39   ,-1.88    ,2.27   ,-1.57    ,0.41
1998-07-01,1.53   ,-3.31    ,1.50   ,-2.09   ,-4.22    ,0.40
1998-08-01,-12.08    ,1.51   ,-2.51    ,1.82    ,4.31    ,0.43
1998-09-01,-4.84    ,0.59   ,-2.70    ,0.11    ,4.84    ,0.46
1998-10-01,6.59   ,-5.65    ,0.83   ,-0.22   ,-1.90    ,0.32
1998-11-01,4.24   ,-3.00    ,0.72   ,-1.09   ,-2.61    ,0.31
1998-12-01,2.88   ,-2.68   ,-1.89    ,0.85    ,0.08    ,0.38
1999-01-01,-0.43   ,-0.02   ,-2.07    ,1.69   ,-3.57    ,0.35
1999-02-01,-2.19    ,2.47   ,-1.10    ,2.16    ,1.81    ,0.35
1999-03-01,-0.03   ,-0.28    ,1.38   ,-0.71    ,1.58    ,0.43
1999-04-01,2.95    ,0.85    ,1.87    ,0.35   ,-0.32    ,0.37
1999-05-01,-3.80    ,4.37    ,0.11    ,0.19    ,1.79    ,0.34
1999-06-01,1.71    ,0.15    ,0.52    ,0.39   ,-1.48    ,0.40
1999-07-01,1.12    ,3.39    ,0.35   ,-0.81    ,1.35    ,0.38
1999-08-01,1.34    ,3.32   ,-1.09   ,-1.56   ,-3.27    ,0.39
1999-09-01,-0.32    ,1.34   ,-1.80   ,-1.59   ,-1.89    ,0.39
1999-10-01,1.72   ,-1.12   ,-3.81    ,2.20   ,-1.49    ,0.39
1999-11-01,2.76   ,-0.42   ,-9.05    ,2.93   ,-5.48    ,0.36
1999-12-01,9.26   ,-4.95   ,-4.26    ,4.57   ,-6.16    ,0.44
2000-01-01,-7.12    ,8.83   ,-6.12    ,2.65   ,-4.28    ,0.41
2000-02-01,5.87    ,0.83   ,-9.50    ,3.63   ,-7.30    ,0.43
2000-03-01,0.66   ,-5.11    ,3.23   ,-2.64    ,4.92    ,0.47
2000-04-01,-5.58   ,-4.57    ,5.80   ,-1.55    ,1.31    ,0.46
2000-05-01,-0.07    ,0.19    ,6.06   ,-3.49    ,4.89    ,0.50
2000-06-01,0.68    ,0.33    ,3.21   ,-3.42    ,1.22    ,0.40
2000-07-01,-1.58   ,-0.68    ,3.30   ,-0.15   ,-0.11    ,0.48
2000-08-01,-1.57    ,0.63   ,-0.38   ,-1.32    ,0.57    ,0.50
2000-09-01,-4.99    ,2.33    ,2.64    ,1.60    ,2.16    ,0.51
2000-10-01,-2.70   ,-6.17    ,7.63    ,2.60    ,4.11    ,0.56
2000-11-01,-4.55   ,-0.80   ,11.16    ,0.81    ,8.77    ,0.51
2000-12-01,5.68    ,0.35    ,3.32   ,-0.47    ,0.66    ,0.50
2001-01-01,0.39    ,1.75    ,0.69   ,-0.91    ,0.82    ,0.54
2001-02-01,-8.69    ,4.67    ,9.42   ,-1.67    ,6.80    ,0.38
2001-03-01,-9.34   ,-0.68    ,5.83    ,2.51    ,2.67    ,0.42
2001-04-01,7.40   ,-3.49   ,-3.15    ,2.68   ,-1.93    ,0.39
2001-05-01,-5.03    ,2.81    ,4.23   ,-0.25    ,3.36    ,0.32
2001-06-01,-3.65   ,-0.77    ,6.21   ,-1.07    ,5.31    ,0.28
2001-07-01,-0.70   ,-1.64    ,3.81    ,2.32    ,3.45    ,0.30
2001-08-01,-2.03    ,2.26    ,4.14    ,1.43    ,5.05    ,0.31
2001-09-01,-11.56   ,-4.76    ,2.34    ,1.09    ,3.31    ,0.28
2001-10-01,3.24    ,1.34   ,-3.29   ,-1.78   ,-5.42    ,0.22
2001-11-01,4.09    ,1.93   ,-1.10   ,-2.29   ,-4.37    ,0.17
2001-12-01,1.82   ,-1.54    ,1.40    ,2.54    ,0.86    ,0.15
2002-01-01,-4.70    ,3.23    ,1.83    ,3.13    ,2.58    ,0.14
2002-02-01,0.41   ,-0.02    ,1.74    ,2.85    ,4.65    ,0.13
2002-03-01,5.08   ,-0.48    ,0.74    ,0.39   ,-0.29    ,0.13
2002-04-01,-0.32    ,3.37    ,4.76    ,1.39    ,5.28    ,0.15
2002-05-01,0.43    ,1.99    ,4.70    ,0.16    ,2.61    ,0.14
2002-06-01,-2.48    ,1.76    ,2.42    ,2.60    ,4.63    ,0.13
2002-07-01,-10.59    ,2.43    ,3.15    ,1.51    ,0.44    ,0.15
2002-08-01,0.14   ,-1.83    ,2.11    ,0.75   ,-0.34    ,0.14
2002-09-01,-13.17    ,3.29   ,-1.91    ,6.40    ,0.52    ,0.14
2002-10-01,8.58   ,-7.33   ,-0.84   ,-4.88    ,0.13    ,0.14
2002-11-01,4.88   ,-0.76    ,2.16   ,-5.00    ,0.55    ,0.12
2002-12-01,-2.75    ,4.18    ,3.25    ,2.24    ,0.16    ,0.11
2003-01-01,-3.45    ,2.43    ,2.51   ,-0.88    ,1.05    ,0.10
2003-02-01,-3.34    ,0.52    ,1.69    ,0.23   ,-0.63    ,0.09
2003-03-01,-1.49    ,0.86   ,-0.50    ,1.60    ,0.53    ,0.10
2003-04-01,13.11   ,-2.24    ,0.22   ,-3.68   ,-0.05    ,0.10
2003-05-01,7.66    ,2.92    ,1.12   ,-1.30    ,0.20    ,0.09
2003-06-01,1.17    ,1.98    ,0.42    ,0.69   ,-0.42    ,0.10
2003-07-01,1.71    ,1.22    ,3.93   ,-3.59    ,2.19    ,0.07
2003-08-01,0.20    ,3.25    ,0.01    ,1.02    ,1.06    ,0.07
2003-09-01,2.80    ,2.82    ,0.03    ,0.37   ,-0.11    ,0.08
2003-10-01,6.19   ,-0.79    ,3.69   ,-2.92    ,2.26    ,0.07
2003-11-01,4.49    ,0.15    ,0.42   ,-0.11    ,0.86    ,0.07
2003-12-01,7.32   ,-1.90    ,0.57    ,0.42   ,-0.20    ,0.08
2004-01-01,2.48    ,4.00    ,2.45   ,-1.72    ,3.68    ,0.07
2004-02-01,3.10    ,1.15    ,0.40    ,0.80   ,-0.96    ,0.06
2004-03-01,-3.33    ,0.84   ,-0.32    ,1.39   ,-2.18    ,0.09
2004-04-01,-1.23   ,-0.75    ,0.85    ,0.64   ,-0.26    ,0.08
2004-05-01,1.42   ,-1.06   ,-0.89    ,0.83   ,-1.28    ,0.06
2004-06-01,1.98    ,1.23    ,0.99    ,0.85    ,1.04    ,0.08
2004-07-01,-3.12    ,0.13    ,0.45    ,1.56   ,-1.14    ,0.10
2004-08-01,0.37   ,-0.41    ,1.32   ,-0.31   ,-0.48    ,0.11
2004-09-01,4.01    ,0.21    ,0.74   ,-0.65   ,-0.35    ,0.11
2004-10-01,4.06    ,0.20    ,0.69    ,0.15    ,0.48    ,0.11
2004-11-01,6.86    ,2.15    ,1.73   ,-1.44    ,0.85    ,0.15
2004-12-01,4.25    ,0.60    ,0.72    ,0.73    ,0.47    ,0.16
2005-01-01,-1.25    ,3.72    ,1.57    ,0.15   ,-0.55    ,0.16
2005-02-01,4.59    ,0.95    ,1.04    ,0.33    ,0.34    ,0.16
2005-03-01,-2.57   ,-0.12    ,0.24    ,0.23    ,0.17    ,0.21
2005-04-01,-2.59    ,0.53   ,-0.11   ,-0.30    ,0.60    ,0.21
2005-05-01,-0.03   ,-1.49    ,1.18   ,-0.53    ,0.33    ,0.24
2005-06-01,1.53    ,1.06    ,1.64    ,0.73   ,-0.09    ,0.23
2005-07-01,3.82    ,0.55    ,1.34   ,-0.17   ,-0.50    ,0.24
2005-08-01,2.02    ,2.14   ,-0.11    ,0.17    ,0.58    ,0.30
2005-09-01,1.48   ,-0.16    ,0.12    ,0.52   ,-1.03    ,0.29
2005-10-01,-3.41   ,-1.14    ,0.41   ,-1.05    ,1.12    ,0.27
2005-11-01,1.29   ,-0.20    ,0.56   ,-0.03   ,-1.50    ,0.31
2005-12-01,3.80    ,0.62    ,0.44   ,-0.64   ,-0.40    ,0.32
2006-01-01,6.38    ,2.34    ,1.74   ,-0.66   ,-2.18    ,0.35
2006-02-01,0.55    ,2.15    ,1.45   ,-1.30   ,-1.04    ,0.34
2006-03-01,3.99    ,0.80    ,1.71   ,-1.19    ,0.23    ,0.37
2006-04-01,5.25    ,2.01   ,-0.32    ,1.07    ,0.16    ,0.36
2006-05-01,-3.64   ,-0.96   ,-0.55    ,1.02    ,1.04    ,0.43
2006-06-01,-0.21   ,-1.75   ,-0.51    ,0.32   ,-0.71    ,0.40
2006-07-01,1.01   ,-1.72    ,1.61   ,-0.42    ,0.14    ,0.40
2006-08-01,2.70   ,-0.20    ,0.39   ,-0.17   ,-0.38    ,0.42
2006-09-01,0.69    ,0.05    ,0.32   ,-0.55    ,0.75    ,0.41
2006-10-01,3.82    ,0.22    ,1.50    ,0.54   ,-0.49    ,0.41
2006-11-01,3.76    ,2.44    ,0.34    ,0.17    ,0.22    ,0.42
2006-12-01,3.32    ,0.96    ,0.55   ,-0.05   ,-0.58    ,0.40
2007-01-01,0.61    ,1.99    ,0.77   ,-0.65    ,0.58    ,0.44
2007-02-01,-0.51    ,1.36   ,-0.09    ,1.04    ,0.64    ,0.38
2007-03-01,3.71    ,0.71    ,0.04    ,0.94    ,0.21    ,0.43
2007-04-01,5.54   ,-0.21    ,1.26    ,0.12    ,0.29    ,0.44
2007-05-01,1.56   ,-0.75    ,0.56    ,0.99    ,1.08    ,0.41
2007-06-01,-0.16   ,-0.49    ,0.40    ,2.27    ,0.46    ,0.40
2007-07-01,-2.22    ,1.90   ,-0.36    ,1.33   ,-0.52    ,0.40
2007-08-01,-2.08   ,-3.04   ,-0.06    ,0.65    ,1.03    ,0.42
2007-09-01,4.82   ,-3.80   ,-0.85   ,-0.73   ,-0.86    ,0.32
2007-10-01,4.34    ,0.24   ,-0.92    ,1.48   ,-1.39    ,0.32
2007-11-01,-4.03   ,-4.47   ,-1.76    ,0.49    ,1.54    ,0.34
2007-12-01,-2.10   ,-0.97    ,1.22   ,-0.12    ,0.55    ,0.27
2008-01-01,-10.01    ,0.47   ,-0.01   ,-0.93    ,1.58    ,0.21
2008-02-01,1.96    ,2.63   ,-0.51    ,0.51   ,-1.28    ,0.13
2008-03-01,0.26   ,-0.61    ,2.37   ,-0.81   ,-0.22    ,0.17
2008-04-01,4.41   ,-2.61   ,-0.01    ,1.73   ,-0.80    ,0.18
2008-05-01,0.85    ,0.37   ,-1.17    ,0.41   ,-0.86    ,0.18
2008-06-01,-8.68    ,1.92   ,-0.70   ,-0.02    ,1.34    ,0.17
2008-07-01,-3.83   ,-1.86    ,0.95   ,-0.74    ,1.10    ,0.15
2008-08-01,-4.57    ,0.30   ,-0.09    ,0.70    ,1.81    ,0.13
2008-09-01,-15.07   ,-2.70    ,0.91   ,-0.18    ,5.43    ,0.15
2008-10-01,-22.02   ,-4.65   ,-3.53    ,4.09    ,4.58    ,0.08
2008-11-01,-7.18   ,-1.17   ,-3.63    ,0.93    ,3.17    ,0.03
2008-12-01,6.70   ,-1.48    ,1.21   ,-1.72    ,3.60    ,0.00
2009-01-01,-10.99    ,4.71   ,-4.05    ,1.37   ,-1.87    ,0.00
2009-02-01,-9.96    ,4.32   ,-4.23    ,3.34   ,-0.41    ,0.01
2009-03-01,6.94   ,-2.35    ,1.46    ,0.79   ,-2.76    ,0.02
2009-04-01,13.67    ,2.09    ,6.66   ,-1.49   ,-3.56    ,0.01
2009-05-01,12.86    ,1.09   ,-1.24    ,1.35   ,-2.67    ,0.00
2009-06-01,-1.87    ,1.61   ,-1.19    ,0.29    ,0.45    ,0.01
2009-07-01,10.18   ,-3.40    ,3.78    ,0.19   ,-0.26    ,0.01
2009-08-01,5.65    ,2.64    ,7.53   ,-4.74    ,2.47    ,0.01
2009-09-01,5.43    ,1.94    ,1.13    ,0.19    ,1.21    ,0.01
2009-10-01,-1.85    ,1.44   ,-3.28    ,2.86   ,-0.36    ,0.00
